,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,82.41575,82.41575,82.444,0.028249999999999886,False,0.15349999999999397,0.18174999999999386,1,0.4613583508234972,82.42975,0.013999999999995794,0.014250000000004093,35.398230088495716,0.009706695104336648
MeanVar1,82.5975,82.5975,82.6255,0.028000000000005798,False,0.15149999999999864,0.17950000000000443,1,0.468139069567189,82.61125,0.013750000000001705,0.014250000000004093,35.71428571427832,0.009837839185153933
MeanVar1,82.777,82.777,82.80625,0.02925000000000466,False,0.149249999999995,0.17849999999999966,1,0.47393099516615333,82.7915,0.014499999999998181,0.01475000000000648,34.18803418802874,0.010343256023213006
MeanVar1,82.9555,82.9555,82.98625,0.030749999999997613,False,0.14825000000000443,0.17900000000000205,1,0.48244612863674174,82.97125,0.015749999999997044,0.015000000000000568,32.52032520325456,0.011006262570305467
MeanVar1,83.1345,83.1345,83.1645,0.030000000000001137,False,0.15099999999999625,0.18099999999999739,1,0.4707653363058292,83.14875,0.014250000000004093,0.015749999999997044,33.33333333333207,0.01047252166564815
MeanVar1,83.3155,83.3155,83.3435,0.028000000000005798,False,0.15350000000000819,0.18150000000001398,1,0.4600023938169504,83.3295,0.013999999999995794,0.014000000000010004,35.71428571427832,0.009620017831529935
MeanVar1,83.49700000000001,83.49700000000001,83.525,0.027999999999991587,False,0.15099999999999625,0.17899999999998784,1,0.45930974873488384,83.51075,0.013749999999987494,0.014250000000004093,35.714285714296444,0.009671522311604603
MeanVar1,83.676,83.676,83.70575,0.029749999999992838,False,0.14875000000000682,0.17849999999999966,1,0.48989552915668755,83.691,0.015000000000000568,0.01474999999999227,33.613445378159355,0.01080569897675647
MeanVar1,83.8545,83.8545,83.8855,0.0309999999999917,False,0.14875000000000682,0.17974999999999852,1,0.4907544798849197,83.87025,0.015749999999997044,0.015249999999994657,32.258064516137665,0.011264926757784963
MeanVar1,84.03425,84.03425,84.064,0.029749999999992838,False,0.15150000000001285,0.18125000000000568,1,0.4681677926005937,84.0485,0.014250000000004093,0.015499999999988745,33.613445378159355,0.010341533897022021
MeanVar1,84.2155,84.2155,84.2435,0.027999999999991587,False,0.15350000000000819,0.18149999999999977,1,0.45680888213754256,84.2295,0.013999999999995794,0.013999999999995794,35.714285714296444,0.009550246927635774
