,Time,Peaks Amplitude,Intervals
MeanVar1,481.39275000000004,0.5297217880691549,0.2004999999999768
MeanVar1,481.59325,0.5339124685604235,0.20024999999998272
MeanVar1,481.7935,0.5337815488179932,0.19999999999998863
MeanVar1,481.9935,0.5318196469777281,0.20125000000001592
MeanVar1,482.19475,0.591127840980298,0.19950000000000045
MeanVar1,482.39425,0.5363234879340082,0.20024999999998272
MeanVar1,482.5945,0.5390151031114745,0.20050000000003365
MeanVar1,482.795,0.5400687931720703,0.2004999999999768
MeanVar1,482.9955,0.5434665688292906,0.20050000000003365
MeanVar1,483.196,0.5432508125195672,0.2007499999999709
MeanVar1,483.39675,0.5495056357792412,0.20050000000003365
MeanVar1,483.59725000000003,0.5484978954576012,0.2004999999999768
MeanVar1,483.79775,0.5500915579887241,0.2004999999999768
MeanVar1,483.99825,0.5513165087045386,0.20075000000002774
MeanVar1,484.199,0.5539062604562891,0.2007499999999709
MeanVar1,484.39975,0.6067172498029361,0.20025000000003956
MeanVar1,484.6,0.560265451840019,0.2007499999999709
MeanVar1,484.80075,0.5580148126638891,0.20050000000003365
MeanVar1,485.00125,0.5571992839524386,0.2007499999999709
MeanVar1,485.202,0.5552279837848132,0.20025000000003956
MeanVar1,485.40225000000004,0.5522195726081827,0.2007499999999709
MeanVar1,485.603,0.548762261505191,0.2004999999999768
MeanVar1,485.8035,0.5452464368322336,0.20050000000003365
MeanVar1,486.004,0.5396813559205793,0.2004999999999768
MeanVar1,486.2045,0.5358269789825172,0.20075000000002774
MeanVar1,486.40525,0.5313997758163067,0.2007499999999709
MeanVar1,486.606,0.5794584844598619,0.19999999999998863
MeanVar1,486.806,0.524730243778112,0.20075000000002774
MeanVar1,487.00675,0.5282999280629282,0.20024999999998272
MeanVar1,487.207,0.5247541563005097,0.20025000000003956
MeanVar1,487.40725000000003,0.5262184642761276,0.20024999999998272
MeanVar1,487.6075,0.5283339613390626,0.2004999999999768
MeanVar1,487.808,0.5331546097038558,0.20025000000003956
MeanVar1,488.00825000000003,0.5358112694343408,0.2004999999999768
MeanVar1,488.20875,0.5364814216621395,0.20100000000002183
MeanVar1,488.40975000000003,0.5403156878477109,0.2004999999999768
MeanVar1,488.61025,0.5426878882300152,0.20100000000002183
